	name	lenght	energy	x	y	z	dx	dy	dz	
	Epair	8477.530868544049	97675937.7191075	-0.00207251938916865	-0.0230625878600586	-8477.530868505773	4.589257016558216e-07	-2.286386116946759e-06	-0.9999999999972798	
	NuclInt	8872.41403993098	97673566.75583747	-0.0019478822357862002	-0.023958232796039345	-8872.414039891668	1.296328749108755e-07	-2.5313976369267476e-06	-0.9999999999967865	
	Epair	9232.27394428925	97670354.94221886	-0.0018424760198834877	-0.024862140248047993	-9232.273944248787	4.4703972856346773e-07	-2.4862251894540027e-06	-0.9999999999968082	
	Epair	9569.40656609801	97667070.32752472	-0.0015398867125970685	-0.025672685556485414	-9569.406566056437	1.3453239275322149e-06	-2.2061448241976805e-06	-0.9999999999966602	
	Epair	9855.807458259176	97654844.98654148	-0.0011981223532811947	-0.02637120655605006	-9855.807458216548	1.254968762815711e-06	-2.5485472273095665e-06	-0.9999999999959637	
	Epair	10299.134527407597	97652295.7303568	-0.0005019539016898595	-0.027209166035007008	-10299.13452736363	1.1351874253343173e-06	-1.6553501894626372e-06	-0.9999999999979842	
	Epair	10304.604272679446	97626246.36659016	-0.0004960011191868781	-0.027218207794911742	-10304.604272635468	1.0910760451791812e-06	-1.6532884095442743e-06	-0.9999999999980367	
	Epair	10781.500096381662	97623507.16941868	-0.00023246699837099478	-0.028085396133411645	-10781.500096336822	1.8392761928916431e-07	-2.048443531597537e-06	-0.9999999999978836	
	Epair	11677.201737479327	97620920.69838512	-0.0002550821850304269	-0.029826603844820963	-11677.201737432793	-3.189747475414952e-08	-2.2033242721479306e-06	-0.9999999999975707	
	Epair	12345.232851141152	96724269.56013098	0.00014570947411604704	-0.03151455003200272	-12345.232851092365	1.4161260680078857e-06	-2.806697234252086e-06	-0.9999999999950571	
	DeltaE	12399.149178872589	96721982.67236662	0.00022037958764338554	-0.031659988383627706	-12399.149178823554	1.3573976888936458e-06	-2.7046598867937432e-06	-0.9999999999954197	
